doc_no,item_seq,sys_no,author,title,edition,imprint,publication_date,citation,barcode,class,collection_code,call_number_key,primary_call_no_desc,item_desc,internal_note,item_status,event_id,event_type,event_category,event_category_label,event_date,event_hour,event_minute,event_day_part,event_month,event_year,event_year_month,patron_status,patron_type
783051,10,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327192O,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.2 c.1,,01,48656,Simple Loan,02,Loans,"Mar 26, 2008",14,01,Noon,03,2008,2008/03,Undergraduate,Undergraduate
783051,10,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327192O,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.2 c.1,,01,13983,Simple Loan,02,Loans,"Aug 27, 2012",11,36,Morning,08,2012,2012/08,Law Faculty,Staff - General
783051,10,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327192O,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.2 c.1,,12,9245,Remote Storage Loan,02,Loans,"Dec 6, 2012",19,11,Evening,12,2012,2012/12,Dummy,Other - Miscellanous
2383961,20,2383961,"Dwyer, John P.",Property law and policy :,,"Westbury, N.Y. : Foundation Press, 1998.",1998,"Dwyer, John P. ÊProperty law and policy : a comparative institutional perspective / by John P. Dwyer, Peter S. Menell. ÊWestbury, N.Y. : Foundation Press, 1998. Êxli, 1076 p. : ill. ; 26 cm. [002383961]",L00522004D,Property (LAW 170),LRESV,"kf""560 d93 1998",KF560 .D93 1998,c.2,,12,13141,Simple Loan,02,Loans,"Oct 31, 2011",13,26,Noon,10,2011,2011/10,Graduate Student,Grad - Law
783051,20,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327193P,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.1 c.1,,01,10883,Transfer Loan,02,Loans,"Aug 25, 2012",11,35,Morning,08,2012,2012/08,Dummy,Other - Miscellanous
783051,20,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327193P,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.1 c.1,,01,13987,Remote Storage Loan,02,Loans,"Aug 27, 2012",11,36,Morning,08,2012,2012/08,Dummy,Other - Miscellanous
783051,20,783051,,Statutes on slavery :,,"New York : Garland Pub., 1988.",1988,"Statutes on slavery : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê2 v. ; 23 cm. [000783051]",D00327193P,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 7,KF4545.S5 A5 1988 ser.7,v.1 c.1,,12,9243,Remote Storage Loan,02,Loans,"Dec 6, 2012",19,11,Evening,12,2012,2012/12,Dummy,Other - Miscellanous
783052,40,783052,,Fugitive slaves and American courts :,,"New York : Garland Pub., 1988.",1988,"Fugitive slaves and American courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê4 v. : ill. ; 23 cm. [000783052]",D00440112C,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 2,KF4545.S5 A5 1988 ser.2,v.1 c.1,,01,40280,Simple Loan,02,Loans,"Nov 28, 2007",05,45,Night,11,2007,2007/11,Undergraduate,Undergraduate
2883860,10,2883860,,Judicial cases concerning American slavery and the Negro /,,"Buffalo, N.Y. : William S. Hein, 1998.",1998,"Judicial cases concerning American slavery and the Negro / edited by Helen Tunnicliff Catterall. ÊBuffalo, N.Y. : William S. Hein, 1998. Ê5 v. ; 24 cm. [002883860]",L00400719L,Law of Slavery (LAW 794),LRESV,kf#4545 s5 j83 1998,KF4545.S5 J83 1998,v.1 c.1,,12,7591,Simple Loan,02,Loans,"Dec 6, 2012",14,11,Noon,12,2012,2012/12,Graduate Student,Grad - Law
3904110,10,3896822,"Dolzer, Rudolf.",Principles of international investment law /,,"Oxford ; New York : Oxford University Press, 2008.",2008,"Dolzer, Rudolf. ÊPrinciples of international investment law / Rudolf Dolzer and Christoph Schreuer. ÊOxford ; New York : Oxford University Press, 2008. Êxliii, 433 p. ; 24 cm. [003896822]",L00505755R,International Investment Law (LAW 752),LRESV,k#3830 d65 2008,K3830 .D65 2008,,,12,32383,Simple Loan,02,Loans,"Feb 18, 2012",16,50,Noon,02,2012,2012/02,Graduate Student,Grad - Law
